# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.5945988} 
r,l,t
21.0,1655,24646.194842
21.0,1674,24680.217111
19.0,1810,24717.055294
21.0,1650,24751.303767
21.0,1675,24785.08059
21.0,1651,24819.094162
21.0,1648,24853.128254
21.0,1712,24887.501077
21.0,1652,24921.365139
21.0,1671,24955.493473
21.0,1744,24991.940591
21.0,1650,25024.092444
21.0,1649,25057.798601
21.0,1667,25091.911517
20.0,1706,25128.04969
20.0,1722,25162.343638
21.0,1650,25196.233668
21.0,1674,25230.208543
20.0,1746,25266.577291
21.0,1650,25300.568831
21.0,1648,25332.851393
20.0,1703,25368.956187
21.0,1654,25402.81428
21.0,1675,25436.797853
21.0,1674,25470.864573
21.0,1651,25504.904971
21.0,1675,25539.038289
21.0,1652,25572.976141
21.0,1654,25605.208584
20.0,1808,25643.974857
21.0,1674,25678.063078
21.0,1654,25712.114078
21.0,1692,25746.221519
21.0,1668,25780.095983
21.0,1652,25814.111429
21.0,1670,25848.115638
21.0,1667,25882.072734
21.0,1652,25916.089473
20.0,1701,25950.188809
21.0,1652,25983.879264
21.0,1650,26017.673599
21.0,1672,26051.897723
21.0,1648,26085.849325
21.0,1669,26119.817593
20.0,1721,26154.076388
21.0,1668,26188.164149
21.0,1671,26222.422001
21.0,1667,26256.492192
21.0,1675,26290.803053
21.0,1673,26324.914963
21.0,1649,26358.738285
21.0,1650,26392.615739
21.0,1672,26426.795625
21.0,1655,26460.712645
21.0,1649,26494.588218
15.0,2237,26539.650362
21.0,1654,26573.55691
21.0,1674,26607.454767
21.0,1675,26641.499318
21.0,1671,26675.497015
20.0,1720,26711.631128
21.0,1651,26745.564218
21.0,1653,26777.612176
21.0,1652,26811.543274
20.0,1723,26847.672314
21.0,1717,26882.121906
21.0,1672,26916.254314
21.0,1668,26950.198938
21.0,1655,26984.101186
21.0,1648,27017.964842
21.0,1673,27052.023198
21.0,1648,27085.868332
20.0,1702,27120.377288
19.0,1793,27157.040505
21.0,1671,27191.115059
21.0,1672,27225.198965
21.0,1655,27259.199222
19.0,1836,27297.790474
21.0,1674,27331.925842
21.0,1669,27365.904498
21.0,1668,27399.757728
21.0,1671,27433.878512
21.0,1669,27467.978712
19.0,1743,27502.369296
21.0,1651,27536.227078
19.0,1847,27574.998088
20.0,1798,27611.813074
21.0,1652,27645.786425
21.0,1655,27677.929414
21.0,1671,27712.135422
21.0,1655,27746.239158
21.0,1650,27780.147697
21.0,1649,27813.984391
21.0,1672,27847.940201
21.0,1673,27882.018617
21.0,1653,27915.979335
21.0,1650,27949.781521
21.0,1668,27983.841616
21.0,1672,28018.174801
21.0,1848,28056.993526
21.0,1675,28090.964953
21.0,1654,28123.192794
21.0,1654,28157.131493
21.0,1653,28191.146687
21.0,1650,28225.054002
21.0,1673,28259.092873
21.0,1675,28292.950927
21.0,1652,28327.122573
21.0,1675,28361.284313
21.0,1668,28395.263292
18.0,1843,28434.224923
21.0,1671,28468.215068
21.0,1673,28502.304392
21.0,1671,28536.281034
21.0,1654,28570.396305
11.0,2348,28618.0536
18.0,1965,28657.467966
20.0,1702,28693.475194
20.0,1733,28728.110453
21.0,1650,28761.947759
21.0,1672,28795.869504
21.0,1673,28830.025071
21.0,1650,28864.042085
21.0,1670,28898.063524
21.0,1649,28932.118828
21.0,1668,28966.115466
21.0,1650,29000.101668
21.0,1671,29034.179389
21.0,1675,29068.268383
21.0,1648,29102.274492
21.0,1650,29136.206521
21.0,1654,29171.423044
21.0,1651,29203.474186
21.0,1649,29237.419321
21.0,1653,29271.349389
21.0,1674,29305.317384
21.0,1670,29339.301929
21.0,1653,29373.336589
21.0,1668,29407.30795
21.0,1650,29441.173632
21.0,1674,29475.404516
21.0,1648,29509.526367
21.0,1671,29543.520546
21.0,1672,29578.852424
21.0,1671,29612.811455
21.0,1654,29647.410704
19.0,1829,29685.933341
21.0,1674,29720.346724
20.0,1747,29756.818121
21.0,1654,29790.639563
21.0,1675,29824.863968
21.0,1650,29858.90363
20.0,1721,29895.167003
21.0,1653,29929.390225
21.0,1648,29963.355057
21.0,1672,29997.579946
21.0,1668,30032.035198
21.0,1669,30067.164824
21.0,1654,30101.155761
21.0,1671,30135.260403
20.0,1701,30169.352001
21.0,1655,30203.313228
21.0,1654,30237.647681
21.0,1669,30272.430186
21.0,1673,30308.892127
21.0,1652,30342.882932
21.0,1671,30376.883091
21.0,1673,30411.019918
21.0,1674,30444.820217
21.0,1672,30478.824993
21.0,1651,30512.778119
21.0,1673,30546.957626
21.0,1671,30581.129083
20.0,1766,30617.630768
16.0,2142,30661.923477
21.0,1672,30696.028029
21.0,1651,30730.153525
21.0,1674,30764.198211
21.0,1669,30798.117936
21.0,1671,30832.218187
21.0,1653,30866.124042
21.0,1655,30899.878997
21.0,1671,30934.772999
21.0,1650,30969.288826
21.0,1672,31003.500327
21.0,1654,31037.951691
19.0,1777,31073.451031
19.0,1983,31115.692333
21.0,1649,31149.547127
21.0,1648,31183.506283
21.0,1649,31215.554463
21.0,1672,31252.341234
21.0,1672,31287.39395
21.0,1673,31323.987666
21.0,1668,31360.364035
21.0,1648,31398.636417
21.0,1651,31431.692062
21.0,1655,31466.732741
17.0,2037,31512.740082
21.0,1669,31550.768669
21.0,1671,31588.941613
21.0,1671,31627.590803
21.0,1648,31665.29105
21.0,1654,31699.224575
21.0,1672,31733.181422
21.0,1650,31766.965278
21.0,1755,31803.347225
21.0,1655,31837.335981
21.0,1668,31871.365616
21.0,1669,31908.011989
21.0,1669,31945.528611
21.0,1654,31984.037362
21.0,1648,32020.313519
21.0,1651,32058.702254
21.0,1672,32097.019527
20.0,1721,32137.991602
21.0,1651,32176.555078
21.0,1669,32215.219482
20.0,1838,32256.869251
21.0,1675,32294.935636
20.0,1726,32331.335298
21.0,1672,32366.015786
21.0,1673,32400.694457
21.0,1649,32434.555762
21.0,1674,32468.652509
21.0,1670,32502.751818
21.0,1651,32536.842172
21.0,1655,32569.21501
18.0,1952,32612.149022
17.0,2026,32651.920488
21.0,1668,32687.965736
21.0,1673,32723.437643
