# {"t_start": 1579667593.5519605, "env_id": "PongNoFrameskip-v4"} 
r,l,t
21.0,1653,26599.828691
20.0,1765,26636.262859
20.0,1707,26670.454754
18.0,1854,26709.263987
21.0,1651,26743.181312
21.0,1670,26777.197442
21.0,1667,26811.223008
21.0,1651,26845.059708
21.0,1673,26879.291281
21.0,1654,26913.251509
21.0,1648,26947.14733
21.0,1655,26979.140812
19.0,2081,27023.001601
21.0,1671,27057.017168
21.0,1672,27091.053954
21.0,1673,27125.395978
16.0,2231,27170.23101
21.0,1673,27204.403222
21.0,1655,27238.375737
21.0,1650,27272.202682
21.0,1653,27305.972592
21.0,1654,27340.009927
21.0,1673,27374.001948
21.0,1667,27407.89046
21.0,1648,27441.967902
21.0,1669,27476.004189
21.0,1649,27509.881175
19.0,1966,27549.252698
14.0,2383,27598.794979
21.0,1652,27632.764334
21.0,1653,27664.858192
21.0,1651,27698.854068
21.0,1667,27733.114402
21.0,1654,27767.089151
20.0,1820,27803.769621
21.0,1670,27839.632114
21.0,1655,27871.629998
21.0,1651,27905.635442
21.0,1670,27939.62099
21.0,1648,27973.48585
21.0,1651,28007.565504
21.0,1668,28041.713645
21.0,1650,28075.679286
21.0,1667,28109.627153
21.0,1655,28143.729382
21.0,1669,28177.726338
21.0,1667,28211.769875
21.0,1669,28245.766961
21.0,1655,28279.643818
21.0,1673,28313.838511
21.0,1667,28347.984465
21.0,1649,28381.912515
20.0,1859,28419.0045
21.0,1669,28453.04305
21.0,1671,28487.15627
21.0,1650,28520.997713
21.0,1670,28554.955615
21.0,1655,28589.269575
21.0,1652,28623.376793
21.0,1649,28657.183291
21.0,1648,28691.018989
20.0,1706,28725.465945
21.0,1668,28759.462709
21.0,1654,28793.280303
21.0,1655,28827.325015
21.0,1648,28861.322631
21.0,1669,28895.300621
21.0,1671,28929.502617
21.0,1715,28963.780302
21.0,1668,28997.849714
19.0,1772,29034.425164
21.0,1669,29068.489136
21.0,1648,29102.490322
21.0,1673,29136.564867
21.0,1671,29171.86163
21.0,1670,29205.897439
21.0,1654,29239.853048
21.0,1648,29273.746346
21.0,1648,29307.579214
21.0,1655,29341.511317
21.0,1672,29375.656447
21.0,1650,29409.499792
21.0,1671,29443.47892
21.0,1651,29475.719215
21.0,1650,29509.848874
20.0,1731,29546.072535
21.0,1655,29581.303968
20.0,1797,29617.899778
20.0,1703,29652.748507
20.0,1701,29688.995266
19.0,1791,29725.584913
21.0,1673,29759.789113
21.0,1668,29793.708515
21.0,1652,29827.759665
21.0,1649,29862.099373
21.0,1671,29897.805202
21.0,1655,29932.01381
21.0,1649,29965.976044
21.0,1670,30000.564934
21.0,1653,30034.790997
21.0,1671,30069.747148
21.0,1655,30103.70723
21.0,1668,30137.770197
21.0,1648,30171.568541
21.0,1650,30205.531079
21.0,1651,30240.124455
21.0,1670,30274.785986
21.0,1653,30309.092397
21.0,1651,30343.08763
21.0,1672,30377.1022
20.0,1750,30413.5344
21.0,1672,30447.335
21.0,1673,30481.31898
21.0,1698,30515.565606
21.0,1673,30549.778796
20.0,1773,30586.40469
21.0,1649,30620.356239
21.0,1651,30654.30469
19.0,1778,30690.86017
21.0,1667,30725.056828
20.0,1862,30762.095773
21.0,1783,30798.568171
21.0,1669,30832.633715
21.0,1667,30866.654379
14.0,2159,30910.796732
17.0,2030,30954.031613
21.0,1672,30987.993435
21.0,1674,31022.751844
21.0,1651,31056.734951
21.0,1654,31091.5133
21.0,1672,31126.352318
21.0,1667,31160.24059
21.0,1672,31194.340527
21.0,1670,31229.243466
21.0,1672,31263.307752
21.0,1649,31299.67352
18.0,2121,31345.524464
21.0,1668,31383.923397
21.0,1650,31418.442935
21.0,1655,31453.784497
21.0,1648,31488.982619
21.0,1672,31527.721249
21.0,1649,31565.216445
21.0,1672,31603.720186
21.0,1650,31642.344505
20.0,1725,31680.572387
21.0,1650,31712.599965
21.0,1667,31746.52712
21.0,1671,31780.371341
21.0,1654,31814.360394
21.0,1650,31848.334966
21.0,1668,31882.37639
21.0,1671,31919.621888
21.0,1649,31957.965914
21.0,1650,31996.338702
21.0,1667,32034.79993
21.0,1649,32073.188452
21.0,1651,32111.405357
20.0,1723,32150.411712
21.0,1673,32188.948529
21.0,1649,32227.50929
21.0,1670,32265.957551
21.0,1649,32303.110823
21.0,1672,32336.964616
21.0,1650,32371.585127
21.0,1670,32406.222231
21.0,1669,32440.21965
21.0,1674,32474.281582
21.0,1650,32508.356973
21.0,1670,32542.500266
21.0,1653,32577.132782
21.0,1671,32612.404502
21.0,1669,32646.376993
21.0,1668,32680.522331
21.0,1652,32715.177685
21.0,1674,32749.964814
21.0,1655,32784.640353
21.0,1648,32818.582825
21.0,1655,32853.505551
21.0,1668,32888.307327
21.0,1669,32923.455508
21.0,1671,32957.630505
21.0,1652,32991.439169
21.0,1648,33023.541672
21.0,1650,33057.522221
21.0,1669,33091.5041
21.0,1653,33125.592224
21.0,1668,33159.716305
21.0,1675,33193.702293
21.0,1648,33227.698409
21.0,1651,33261.631881
21.0,1653,33295.797289
21.0,1674,33329.849926
21.0,1849,33366.717339
21.0,1673,33402.638882
21.0,1669,33436.834036
21.0,1652,33468.874563
21.0,1673,33502.817587
21.0,1670,33538.670193
20.0,1908,33575.954045
21.0,1670,33610.154686
21.0,1652,33643.942936
21.0,1649,33677.802192
21.0,1672,33711.982607
21.0,1650,33746.166132
15.0,2224,33790.926648
21.0,1671,33826.821567
18.0,1939,33866.179093
21.0,1673,33900.199606
21.0,1654,33934.174204
21.0,1654,33968.067932
21.0,1669,34002.162731
21.0,1651,34034.508798
20.0,1705,34070.628696
21.0,1669,34104.69936
17.0,2010,34144.580186
21.0,1652,34178.650494
21.0,1670,34212.836385
21.0,1668,34247.015701
21.0,1650,34281.118789
21.0,1649,34315.319465
20.0,1860,34354.204931
21.0,1653,34388.037843
21.0,1652,34420.178558
21.0,1670,34454.207061
21.0,1651,34488.153134
21.0,1673,34522.213974
21.0,1674,34556.362299
21.0,1669,34590.399091
19.0,1944,34631.89989
21.0,1652,34665.853933
20.0,1911,34703.183885
20.0,1932,34744.418769
21.0,1652,34776.493051
21.0,1668,34810.347839
19.0,1969,34851.926005
21.0,1670,34886.198523
21.0,1716,34920.663817
21.0,1673,34954.834961
21.0,1673,34988.890494
21.0,1652,35022.857466
21.0,1667,35057.055994
21.0,1654,35090.912929
21.0,1675,35124.904179
21.0,1671,35158.954224
21.0,1673,35192.939492
21.0,1784,35229.83841
21.0,1650,35263.588609
21.0,1669,35297.576958
21.0,1669,35331.660121
21.0,1671,35365.70925
21.0,1670,35399.733172
21.0,1675,35433.880279
21.0,1653,35467.758707
21.0,1655,35501.651919
21.0,1650,35536.280726
21.0,1652,35570.46474
21.0,1675,35604.596435
21.0,1650,35638.567119
21.0,1669,35672.529436
21.0,1655,35706.480984
21.0,1671,35740.541524
21.0,1648,35774.47815
21.0,1668,35808.569822
21.0,1651,35842.584884
21.0,1654,35874.796577
21.0,1669,35908.891828
21.0,1671,35945.028228
21.0,1650,35977.222191
21.0,1672,36011.160242
